
#Room A
1,483869160,29,2
2,483869128,29,2
3,483869097,29,2
4,483869065,29,2
5,483869034,29,2
6,483869002,29,2
7,483869073,29,2
8,483868971,29,2
9,483868790,29,2
10,483869010,29,2
11,483868939,29,2
12,483868727,29,2
13,483868821,29,2
14,483868853,29,2

#Room B
1,534602216,29,2
2,534602184,29,2
3,534602153,29,2
4,534602121,29,2
5,534602090,29,2
6,534602058,29,2
7,534602129,29,2
8,534602027,29,2
9,534601846,29,2
10,534602066,29,2
11,534601995,29,2
12,534601783,29,2
13,534601877,29,2
14,534601909,29,2

#Room C
1,1524200,29,2
2,1524168,29,2
3,1524137,29,2
4,1524105,29,2
5,1524074,29,2
6,1524042,29,2
7,1524113,29,2
8,1524011,29,2
9,1523830,29,2
10,1524050,29,2
11,1523979,29,2
12,1523767,29,2
13,1523861,29,2
14,1523893,29,2

#Room D
1,526115304,29,2
2,526115272,29,2
3,526115241,29,2
4,526115209,29,2
5,526115178,29,2
6,526115146,29,2
7,526115217,29,2
8,526115115,29,2
9,526114934,29,2
10,526115154,29,2
11,526115083,29,2
12,526114871,29,2
13,526114965,29,2
14,526114997,29,2
